iter,scenario,ms,decision
148,defer,49,759,defer
148,allow,345,855,allow
149,floor,34,435,-
149,defer,60,792,defer
149,allow,61,52,allow
150,floor,28,947,-
150,defer,47,996,defer
150,allow,47,96,allow
151,floor,30,107,-
151,defer,47,83,defer
151,allow,48,085,allow
152,floor,29,334,-
152,defer,47,352,defer
152,allow,62,601,allow
153,floor,31,558,-
153,defer,62,137,defer
153,allow,47,962,allow
154,floor,28,177,-
154,defer,64,416,defer
154,allow,48,198,allow
155,floor,29,466,-
155,defer,47,867,defer
155,allow,49,046,allow
156,floor,28,981,-
156,defer,50,116,defer
156,allow,62,658,allow
157,floor,29,791,-
157,defer,63,793,defer
157,allow,49,028,allow
158,floor,31,216,-
158,defer,60,707,defer
158,allow,61,376,allow
159,floor,29,88,-
159,defer,46,936,defer
159,allow,47,543,allow
160,floor,30,412,-
160,defer,62,916,defer
160,allow,62,258,allow
161,floor,352,591,-
161,defer,60,464,defer
161,allow,62,57,allow
162,floor,38,239,-
162,defer,55,902,defer
162,allow,47,715,allow
163,floor,29,055,-
163,defer,48,269,defer
163,allow,48,412,allow
164,floor,28,288,-
164,defer,49,764,defer
164,allow,46,949,allow
165,floor,28,62,-
165,defer,50,214,defer
165,allow,48,436,allow
166,floor,29,125,-
166,defer,46,668,defer
166,allow,46,506,allow
167,floor,28,429,-
167,defer,348,88,defer
167,allow,46,773,allow
168,floor,30,586,-
168,defer,47,287,defer
168,allow,46,905,allow
169,floor,28,774,-
169,defer,49,721,defer
169,allow,47,102,allow
170,floor,28,793,-
170,defer,50,345,defer
170,allow,347,838,allow
171,floor,29,07,-
171,defer,46,756,defer
171,allow,47,allow
172,floor,30,289,-
172,defer,47,88,defer
172,allow,61,785,allow
173,floor,29,301,-
173,defer,48,238,defer
173,allow,47,978,allow
174,floor,28,755,-
174,defer,49,152,defer
174,allow,46,842,allow
175,floor,28,911,-
175,defer,50,539,defer
175,allow,48,359,allow
176,floor,28,485,-
176,defer,49,584,defer
176,allow,63,319,allow
177,floor,28,965,-
177,defer,49,402,defer
177,allow,47,243,allow
178,floor,29,893,-
178,defer,48,499,defer
178,allow,48,896,allow
179,floor,28,563,-
179,defer,48,914,defer
179,allow,48,46,allow
180,floor,30,115,-
180,defer,47,278,defer
180,allow,63,114,allow
181,floor,29,124,-
181,defer,48,025,defer
181,allow,330,935,allow
182,floor,28,449,-
182,defer,49,468,defer
182,allow,47,419,allow
183,floor,28,834,-
183,defer,65,314,defer
183,allow,47,474,allow
184,floor,28,882,-
184,defer,49,165,defer
184,allow,47,387,allow
185,floor,29,907,-
185,defer,62,418,defer
185,allow,46,557,allow
186,floor,28,615,-
186,defer,49,811,defer
186,allow,60,001,allow
187,floor,29,356,-
187,defer,396,806,defer
187,allow,47,472,allow
188,floor,29,229,-
188,defer,48,042,defer
188,allow,48,107,allow
189,floor,29,016,-
189,defer,48,992,defer
189,allow,49,239,allow
190,floor,29,427,-
190,defer,62,878,defer
190,allow,61,98,allow
191,floor,37,063,-
191,defer,57,15,defer
191,allow,63,407,allow
192,floor,29,298,-
192,defer,48,897,defer
192,allow,47,245,allow
193,floor,28,651,-
193,defer,52,249,defer
193,allow,61,959,allow
194,floor,33,082,-
194,defer,59,707,defer
194,allow,47,781,allow
195,floor,28,685,-
195,defer,48,829,defer
195,allow,48,836,allow
196,floor,28,77,-
196,defer,48,162,defer
196,allow,48,485,allow
197,floor,30,956,-
197,defer,65,991,defer
197,allow,60,9,allow
198,floor,29,096,-
198,defer,50,139,defer
198,allow,62,633,allow
199,floor,29,909,-
199,defer,345,921,defer
199,allow,47,235,allow
200,floor,28,81,-
200,defer,49,408,defer
200,allow,47,035,allow
201,floor,28,997,-
201,defer,50,032,defer
201,allow,47,782,allow
202,floor,30,013,-
202,defer,49,069,defer
202,allow,62,941,allow
203,floor,28,978,-
203,defer,49,06,defer
203,allow,48,021,allow
204,floor,29,698,-
204,defer,49,632,defer
204,allow,46,962,allow
205,floor,28,973,-
205,defer,49,442,defer
205,allow,345,342,allow
206,floor,28,557,-
206,defer,48,895,defer
206,allow,48,033,allow
207,floor,28,649,-
207,defer,65,765,defer
207,allow,61,819,allow
208,floor,31,967,-
208,defer,60,42,defer
208,allow,63,655,allow
209,floor,30,656,-
209,defer,61,49,defer
209,allow,62,698,allow
210,floor,29,546,-
210,defer,46,693,defer
210,allow,46,887,allow
211,floor,29,456,-
211,defer,46,85,defer
211,allow,48,398,allow
212,floor,29,359,-
212,defer,49,081,defer
212,allow,47,112,allow
213,floor,28,761,-
213,defer,63,991,defer
213,allow,48,297,allow
214,floor,28,848,-
214,defer,49,7,defer
214,allow,48,065,allow
215,floor,30,188,-
215,defer,47,488,defer
215,allow,47,844,allow
216,floor,28,773,-
216,defer,49,829,defer
216,allow,48,752,allow
217,floor,30,404,-
217,defer,62,427,defer
217,allow,48,802,allow
218,floor,308,61,-
218,defer,54,592,defer
218,allow,47,905,allow
219,floor,28,656,-
219,defer,49,416,defer
219,allow,48,224,allow
220,floor,28,927,-
220,defer,48,196,defer
220,allow,47,62,allow
221,floor,29,206,-
221,defer,48,636,defer
221,allow,46,061,allow
222,floor,37,242,-
222,defer,54,814,defer
222,allow,47,247,allow
223,floor,29,099,-
223,defer,48,706,defer
223,allow,47,657,allow
224,floor,313,22,-
224,defer,48,856,defer
224,allow,46,501,allow
225,floor,28,885,-
225,defer,49,011,defer
225,allow,48,486,allow
226,floor,29,939,-
226,defer,47,77,defer
226,allow,49,338,allow
227,floor,326,222,-
227,defer,50,126,defer
227,allow,47,034,allow
228,floor,28,326,-
228,defer,48,984,defer
228,allow,46,052,allow
229,floor,28,174,-
229,defer,51,981,defer
229,allow,47,233,allow
230,floor,28,852,-
230,defer,48,952,defer
230,allow,46,884,allow
231,floor,29,206,-
231,defer,48,839,defer
231,allow,62,226,allow
232,floor,29,376,-
232,defer,49,281,defer
232,allow,48,018,allow
233,floor,28,521,-
233,defer,50,416,defer
233,allow,62,781,allow
234,floor,28,766,-
234,defer,48,113,defer
234,allow,46,568,allow
235,floor,28,817,-
235,defer,51,192,defer
235,allow,48,1,allow
236,floor,28,993,-
236,defer,48,267,defer
236,allow,47,804,allow
237,floor,28,308,-
237,defer,49,225,defer
237,allow,48,679,allow
238,floor,28,769,-
238,defer,364,033,defer
238,allow,48,448,allow
239,floor,33,105,-
239,defer,61,086,defer
239,allow,46,697,allow
240,floor,29,222,-
240,defer,48,901,defer
240,allow,47,807,allow
241,floor,29,933,-
241,defer,49,368,defer
241,allow,47,587,allow
242,floor,27,957,-
242,defer,50,978,defer
242,allow,47,882,allow
243,floor,28,771,-
243,defer,64,984,defer
243,allow,61,351,allow
244,floor,317,02,-
244,defer,58,765,defer
244,allow,46,67,allow
245,floor,28,599,-
245,defer,50,509,defer
245,allow,48,37,allow
246,floor,28,345,-
246,defer,50,399,defer
246,allow,47,644,allow
247,floor,29,139,-
247,defer,49,698,defer
247,allow,46,77,allow
248,floor,28,32,-
248,defer,50,142,defer
248,allow,46,831,allow
249,floor,28,602,-
249,defer,49,243,defer
249,allow,48,534,allow
250,floor,30,86,-
250,defer,63,587,defer
250,allow,49,853,allow
251,floor,33,544,-
251,defer,58,434,defer
251,allow,47,037,allow
252,floor,39,451,-
252,defer,54,445,defer
252,allow,47,875,allow
253,floor,28,376,-
253,defer,50,139,defer
253,allow,48,137,allow
254,floor,28,921,-
254,defer,51,848,defer
254,allow,46,244,allow
255,floor,28,457,-
255,defer,48,939,defer
255,allow,48,048,allow
256,floor,28,956,-
256,defer,365,168,defer
256,allow,47,721,allow
257,floor,28,572,-
257,defer,49,45,defer
257,allow,46,717,allow
258,floor,28,7,-
258,defer,49,972,defer
258,allow,47,972,allow
259,floor,29,613,-
259,defer,47,858,defer
259,allow,48,548,allow
260,floor,29,36,-
260,defer,48,62,defer
260,allow,47,436,allow
261,floor,28,623,-
261,defer,48,538,defer
261,allow,47,537,allow
262,floor,28,654,-
262,defer,50,257,defer
262,allow,347,091,allow
263,floor,29,926,-
263,defer,48,592,defer
263,allow,46,588,allow
264,floor,28,489,-
264,defer,49,232,defer
264,allow,47,685,allow
265,floor,28,372,-
265,defer,50,714,defer
265,allow,47,356,allow
266,floor,28,419,-
266,defer,50,456,defer
266,allow,46,442,allow
267,floor,28,662,-
267,defer,49,976,defer
267,allow,47,648,allow
268,floor,29,304,-
268,defer,47,88,defer
268,allow,63,071,allow
269,floor,28,999,-
269,defer,48,465,defer
269,allow,47,31,allow
270,floor,28,805,-
270,defer,47,535,defer
270,allow,48,026,allow
271,floor,31,067,-
271,defer,60,465,defer
271,allow,46,777,allow
272,floor,29,172,-
272,defer,47,854,defer
272,allow,48,576,allow
273,floor,29,472,-
273,defer,49,25,defer
273,allow,62,208,allow
274,floor,29,364,-
274,defer,48,189,defer
274,allow,48,151,allow
275,floor,28,611,-
275,defer,380,44,defer
275,allow,48,757,allow
276,floor,32,075,-
276,defer,61,681,defer
276,allow,62,713,allow
277,floor,29,578,-
277,defer,46,845,defer
277,allow,48,911,allow
278,floor,29,211,-
278,defer,48,563,defer
278,allow,47,307,allow
279,floor,27,655,-
279,defer,50,419,defer
279,allow,47,912,allow
280,floor,29,226,-
280,defer,49,396,defer
280,allow,48,444,allow
281,floor,30,283,-
281,defer,349,154,defer
281,allow,62,515,allow
282,floor,37,256,-
282,defer,55,416,defer
282,allow,47,549,allow
283,floor,29,-
283,defer,49,331,defer
283,allow,47,335,allow
284,floor,28,286,-
284,defer,50,558,defer
284,allow,364,397,allow
285,floor,29,273,-
285,defer,50,278,defer
285,allow,48,21,allow
286,floor,28,268,-
286,defer,52,781,defer
286,allow,60,52,allow
287,floor,29,348,-
287,defer,47,194,defer
287,allow,46,841,allow
288,floor,28,464,-
288,defer,49,577,defer
288,allow,47,741,allow
289,floor,28,402,-
289,defer,49,333,defer
289,allow,47,124,allow
290,floor,27,936,-
290,defer,49,596,defer
290,allow,47,859,allow
291,floor,28,198,-
291,defer,49,357,defer
291,allow,63,141,allow
292,floor,30,819,-
292,defer,46,131,defer
292,allow,49,079,allow
293,floor,28,825,-
293,defer,48,206,defer
293,allow,48,004,allow
294,floor,28,257,-
294,defer,50,007,defer
294,allow,50,55,allow
295,floor,28,785,-
295,defer,61,216,defer
295,allow,347,911,allow
296,floor,28,419,-
296,defer,47,872,defer
296,allow,49,23,allow
297,floor,30,554,-
297,defer,51,151,defer
297,allow,60,016,allow
298,floor,28,708,-
298,defer,49,278,defer
298,allow,62,285,allow
299,floor,28,288,-
299,defer,50,464,defer
299,allow,47,965,allow
300,floor,30,101,-
300,defer,46,933,defer
300,allow,48,55,allow
301,floor,315,722,-
301,defer,44,53,defer
301,allow,48,306,allow
302,floor,29,097,-
302,defer,50,078,defer
302,allow,48,913,allow
303,floor,29,543,-
303,defer,46,588,defer
303,allow,47,962,allow
304,floor,28,832,-
304,defer,64,652,defer
304,allow,49,029,allow
305,floor,28,462,-
305,defer,48,989,defer
305,allow,48,547,allow
306,floor,31,776,-
306,defer,59,99,defer
306,allow,61,802,allow
307,floor,29,55,-
307,defer,47,612,defer
307,allow,46,338,allow
308,floor,28,111,-
308,defer,50,556,defer
308,allow,48,683,allow
309,floor,28,584,-
309,defer,49,88,defer
309,allow,49,156,allow
310,floor,30,801,-
310,defer,47,862,defer
310,allow,61,023,allow
311,floor,28,501,-
311,defer,50,045,defer
311,allow,47,344,allow
312,floor,28,693,-
312,defer,49,49,defer
312,allow,48,483,allow
313,floor,323,417,-
313,defer,52,631,defer
313,allow,47,033,allow
314,floor,36,315,-
314,defer,56,102,defer
314,allow,48,002,allow
315,floor,30,669,-
315,defer,48,136,defer
315,allow,47,475,allow
316,floor,28,728,-
316,defer,49,059,defer
316,allow,46,454,allow
317,floor,28,739,-
317,defer,48,524,defer
317,allow,48,098,allow
318,floor,28,568,-
318,defer,51,513,defer
318,allow,61,168,allow
319,floor,312,492,-
319,defer,51,926,defer
319,allow,48,382,allow
320,floor,28,269,-
320,defer,49,734,defer
320,allow,48,043,allow
321,floor,29,99,-
321,defer,48,453,defer
321,allow,47,554,allow
322,floor,312,302,-
322,defer,49,848,defer
322,allow,60,517,allow
323,floor,29,004,-
323,defer,50,171,defer
323,allow,46,977,allow
324,floor,28,221,-
324,defer,54,996,defer
324,allow,61,173,allow
325,floor,28,681,-
325,defer,49,032,defer
325,allow,47,401,allow
326,floor,30,976,-
326,defer,48,38,defer
326,allow,62,34,allow
327,floor,28,588,-
327,defer,49,682,defer
327,allow,47,835,allow
328,floor,28,538,-
328,defer,48,889,defer
328,allow,47,051,allow
329,floor,28,603,-
329,defer,50,251,defer
329,allow,48,139,allow
330,floor,30,598,-
330,defer,60,673,defer
330,allow,48,712,allow
331,floor,29,271,-
331,defer,45,97,defer
331,allow,48,856,allow
332,floor,29,1,-
332,defer,48,203,defer
332,allow,49,026,allow
333,floor,353,799,-
333,defer,53,718,defer
333,allow,63,196,allow
334,floor,28,818,-
334,defer,49,76,defer
334,allow,48,644,allow
335,floor,30,932,-
335,defer,61,272,defer
335,allow,46,672,allow
336,floor,29,408,-
336,defer,47,035,defer
336,allow,48,062,allow
337,floor,28,72,-
337,defer,48,208,defer
337,allow,48,341,allow
338,floor,33,282,-
338,defer,59,295,defer
338,allow,348,897,allow
339,floor,28,43,-
339,defer,49,629,defer
339,allow,49,545,allow
340,floor,31,249,-
340,defer,61,017,defer
340,allow,48,725,allow
341,floor,30,955,-
341,defer,60,727,defer
341,allow,46,629,allow
342,floor,28,935,-
342,defer,49,261,defer
342,allow,48,864,allow
343,floor,36,844,-
343,defer,56,392,defer
343,allow,47,562,allow
344,floor,30,934,-
344,defer,62,674,defer
344,allow,47,079,allow
345,floor,28,262,-
345,defer,50,326,defer
345,allow,47,198,allow
346,floor,28,739,-
346,defer,48,229,defer
346,allow,48,683,allow
347,floor,28,522,-
347,defer,49,608,defer
347,allow,49,145,allow
348,floor,31,6,-
348,defer,60,544,defer
348,allow,48,256,allow
349,floor,29,414,-
349,defer,46,997,defer
349,allow,48,514,allow
350,floor,28,162,-
350,defer,49,963,defer
350,allow,47,9,allow
351,floor,327,002,-
351,defer,49,626,defer
351,allow,47,448,allow
352,floor,28,292,-
352,defer,50,038,defer
352,allow,47,319,allow
353,floor,29,19,-
353,defer,50,405,defer
353,allow,60,934,allow
354,floor,34,101,-
354,defer,59,745,defer
354,allow,47,416,allow
355,floor,28,538,-
355,defer,48,388,defer
355,allow,46,525,allow
356,floor,28,669,-
356,defer,48,957,defer
356,allow,48,574,allow
357,floor,318,908,-
357,defer,60,526,defer
357,allow,48,292,allow
358,floor,28,759,-
358,defer,49,746,defer
358,allow,63,149,allow
359,floor,29,098,-
359,defer,48,853,defer
359,allow,47,041,allow
360,floor,308,609,-
360,defer,50,86,defer
360,allow,62,629,allow
361,floor,30,143,-
361,defer,61,262,defer
361,allow,47,034,allow
362,floor,28,557,-
362,defer,49,815,defer
362,allow,62,676,allow
363,floor,29,104,-
363,defer,48,883,defer
363,allow,46,258,allow
364,floor,28,571,-
364,defer,47,984,defer
364,allow,46,808,allow
365,floor,30,361,-
365,defer,48,001,defer
365,allow,46,243,allow
366,floor,32,221,-
366,defer,63,521,defer
366,allow,47,21,allow
367,floor,28,701,-
367,defer,51,057,defer
367,allow,64,163,allow
368,floor,30,741,-
368,defer,61,2,defer
368,allow,47,298,allow
369,floor,28,81,-
369,defer,49,835,defer
