iter,scenario,ms,decision
797,allow,48,931,allow
798,floor,29,234,-
798,defer,48,243,defer
798,allow,47,817,allow
799,floor,28,858,-
799,defer,49,538,defer
799,allow,48,004,allow
800,floor,30,926,-
800,defer,61,179,defer
800,allow,62,275,allow
801,floor,31,496,-
801,defer,46,296,defer
801,allow,61,157,allow
802,floor,29,704,-
802,defer,49,084,defer
802,allow,52,423,allow
803,floor,31,443,-
803,defer,58,447,defer
803,allow,63,657,allow
804,floor,31,576,-
804,defer,60,865,defer
804,allow,47,494,allow
805,floor,28,599,-
805,defer,49,167,defer
805,allow,49,161,allow
806,floor,28,349,-
806,defer,48,92,defer
806,allow,46,75,allow
807,floor,28,851,-
807,defer,51,291,defer
807,allow,46,931,allow
808,floor,29,377,-
808,defer,334,592,defer
808,allow,63,985,allow
809,floor,36,904,-
809,defer,54,566,defer
809,allow,62,528,allow
810,floor,29,128,-
810,defer,50,963,defer
810,allow,48,328,allow
811,floor,30,102,-
811,defer,63,526,defer
811,allow,47,108,allow
812,floor,28,905,-
812,defer,49,876,defer
812,allow,47,449,allow
813,floor,28,385,-
813,defer,48,959,defer
813,allow,47,801,allow
814,floor,28,982,-
814,defer,49,14,defer
814,allow,375,407,allow
815,floor,28,82,-
815,defer,48,237,defer
815,allow,47,656,allow
816,floor,29,706,-
816,defer,46,176,defer
816,allow,46,662,allow
817,floor,30,73,-
817,defer,63,648,defer
817,allow,64,75,allow
818,floor,30,771,-
818,defer,61,784,defer
818,allow,48,304,allow
819,floor,28,936,-
819,defer,47,539,defer
819,allow,48,028,allow
820,floor,28,609,-
820,defer,47,692,defer
820,allow,49,046,allow
821,floor,32,324,-
821,defer,59,771,defer
821,allow,47,23,allow
822,floor,30,115,-
822,defer,47,649,defer
822,allow,47,581,allow
823,floor,29,843,-
823,defer,62,685,defer
823,allow,46,419,allow
824,floor,28,848,-
824,defer,96,084,defer
824,allow,47,982,allow
825,floor,37,057,-
825,defer,57,775,defer
825,allow,46,846,allow
826,floor,28,526,-
826,defer,49,01,defer
826,allow,47,868,allow
827,floor,373,613,-
827,defer,52,078,defer
827,allow,46,468,allow
828,floor,28,486,-
828,defer,48,546,defer
828,allow,47,312,allow
829,floor,28,366,-
829,defer,50,772,defer
829,allow,47,635,allow
830,floor,27,988,-
830,defer,50,87,defer
830,allow,48,839,allow
831,floor,28,68,-
831,defer,49,547,defer
831,allow,48,734,allow
832,floor,30,735,-
832,defer,63,19,defer
832,allow,63,245,allow
833,floor,30,955,-
833,defer,62,735,defer
833,allow,345,332,allow
834,floor,27,908,-
834,defer,49,159,defer
834,allow,47,612,allow
835,floor,27,902,-
835,defer,51,108,defer
835,allow,47,334,allow
836,floor,28,345,-
836,defer,49,453,defer
836,allow,47,187,allow
837,floor,28,339,-
837,defer,48,84,defer
837,allow,46,682,allow
838,floor,28,822,-
838,defer,50,172,defer
838,allow,62,211,allow
839,floor,29,583,-
839,defer,47,893,defer
839,allow,47,866,allow
840,floor,33,816,-
840,defer,58,862,defer
840,allow,47,682,allow
841,floor,28,35,-
841,defer,49,528,defer
841,allow,63,05,allow
842,floor,27,942,-
842,defer,49,744,defer
842,allow,47,448,allow
843,floor,27,501,-
843,defer,49,485,defer
843,allow,48,868,allow
844,floor,27,92,-
844,defer,49,411,defer
844,allow,48,474,allow
845,floor,28,251,-
845,defer,49,549,defer
845,allow,48,005,allow
846,floor,30,023,-
846,defer,344,827,defer
846,allow,48,092,allow
847,floor,28,15,-
847,defer,48,957,defer
847,allow,48,122,allow
848,floor,28,838,-
848,defer,47,834,defer
848,allow,47,484,allow
849,floor,28,696,-
849,defer,49,711,defer
849,allow,47,851,allow
850,floor,29,016,-
850,defer,49,502,defer
850,allow,47,502,allow
851,floor,29,047,-
851,defer,49,482,defer
851,allow,63,513,allow
852,floor,31,922,-
852,defer,62,68,defer
852,allow,328,487,allow
853,floor,28,092,-
853,defer,50,478,defer
853,allow,47,988,allow
854,floor,36,306,-
854,defer,57,003,defer
854,allow,48,425,allow
855,floor,27,912,-
855,defer,49,693,defer
855,allow,47,227,allow
856,floor,27,841,-
856,defer,51,396,defer
856,allow,48,261,allow
857,floor,29,798,-
857,defer,46,773,defer
857,allow,48,072,allow
858,floor,30,346,-
858,defer,46,927,defer
858,allow,48,612,allow
859,floor,27,64,-
859,defer,50,86,defer
859,allow,49,042,allow
860,floor,30,17,-
860,defer,50,432,defer
860,allow,61,514,allow
861,floor,28,279,-
861,defer,48,977,defer
861,allow,47,118,allow
862,floor,28,48,-
862,defer,49,359,defer
862,allow,48,542,allow
863,floor,28,538,-
863,defer,49,685,defer
863,allow,45,894,allow
864,floor,30,359,-
864,defer,48,717,defer
864,allow,47,97,allow
865,floor,29,913,-
865,defer,381,942,defer
865,allow,62,14,allow
866,floor,30,293,-
866,defer,48,902,defer
866,allow,48,442,allow
867,floor,29,696,-
867,defer,48,175,defer
867,allow,63,13,allow
868,floor,28,888,-
868,defer,48,233,defer
868,allow,62,36,allow
869,floor,27,875,-
869,defer,52,717,defer
869,allow,63,567,allow
870,floor,28,759,-
870,defer,49,36,defer
870,allow,48,244,allow
871,floor,31,32,-
871,defer,348,315,defer
871,allow,60,236,allow
872,floor,28,242,-
872,defer,49,653,defer
872,allow,48,058,allow
873,floor,29,094,-
873,defer,48,176,defer
873,allow,48,426,allow
874,floor,28,053,-
874,defer,50,513,defer
874,allow,49,495,allow
875,floor,30,438,-
875,defer,47,504,defer
875,allow,47,659,allow
876,floor,29,607,-
876,defer,48,914,defer
876,allow,63,194,allow
877,floor,28,639,-
877,defer,49,699,defer
877,allow,46,8,allow
878,floor,27,81,-
878,defer,50,544,defer
878,allow,51,779,allow
879,floor,28,306,-
879,defer,46,22,defer
879,allow,47,612,allow
880,floor,27,916,-
880,defer,51,237,defer
880,allow,46,754,allow
881,floor,28,367,-
881,defer,50,723,defer
881,allow,47,536,allow
882,floor,29,608,-
882,defer,48,129,defer
882,allow,48,106,allow
883,floor,31,19,-
883,defer,61,662,defer
883,allow,48,627,allow
884,floor,325,706,-
884,defer,53,412,defer
884,allow,46,93,allow
885,floor,28,437,-
885,defer,48,71,defer
885,allow,47,503,allow
886,floor,36,265,-
886,defer,57,937,defer
886,allow,48,208,allow
887,floor,28,032,-
887,defer,50,403,defer
887,allow,47,599,allow
888,floor,29,778,-
888,defer,49,083,defer
888,allow,46,442,allow
889,floor,29,85,-
889,defer,47,442,defer
889,allow,61,509,allow
890,floor,28,758,-
890,defer,348,879,defer
890,allow,47,335,allow
891,floor,28,638,-
891,defer,49,956,defer
891,allow,48,298,allow
892,floor,28,356,-
892,defer,49,544,defer
892,allow,47,662,allow
893,floor,29,391,-
893,defer,50,258,defer
893,allow,63,777,allow
894,floor,28,39,-
894,defer,50,228,defer
894,allow,46,579,allow
895,floor,30,944,-
895,defer,48,553,defer
895,allow,47,88,allow
896,floor,28,424,-
896,defer,49,635,defer
896,allow,48,333,allow
897,floor,28,359,-
897,defer,48,796,defer
897,allow,48,039,allow
898,floor,27,937,-
898,defer,50,428,defer
898,allow,47,122,allow
899,floor,27,987,-
899,defer,51,347,defer
899,allow,47,969,allow
900,floor,28,994,-
900,defer,48,895,defer
900,allow,48,623,allow
901,floor,30,873,-
901,defer,63,652,defer
901,allow,45,886,allow
902,floor,28,642,-
902,defer,51,313,defer
902,allow,62,932,allow
903,floor,325,77,-
903,defer,65,974,defer
903,allow,46,533,allow
904,floor,29,637,-
904,defer,48,974,defer
904,allow,47,93,allow
905,floor,28,408,-
905,defer,49,969,defer
905,allow,49,013,allow
906,floor,28,931,-
906,defer,48,839,defer
906,allow,62,7,allow
907,floor,28,168,-
907,defer,50,297,defer
907,allow,48,959,allow
908,floor,29,748,-
908,defer,58,938,defer
908,allow,47,94,allow
909,floor,28,269,-
909,defer,333,921,defer
909,allow,48,428,allow
910,floor,28,55,-
910,defer,48,83,defer
910,allow,48,758,allow
911,floor,28,408,-
911,defer,50,205,defer
911,allow,61,522,allow
912,floor,31,762,-
912,defer,46,188,defer
912,allow,344,604,allow
913,floor,28,467,-
913,defer,49,016,defer
913,allow,48,132,allow
914,floor,28,359,-
914,defer,49,801,defer
914,allow,46,938,allow
915,floor,28,399,-
915,defer,47,908,defer
915,allow,48,234,allow
916,floor,36,608,-
916,defer,56,837,defer
916,allow,48,486,allow
917,floor,29,79,-
917,defer,48,081,defer
917,allow,65,933,allow
918,floor,28,967,-
918,defer,46,546,defer
918,allow,47,902,allow
919,floor,28,879,-
919,defer,47,434,defer
919,allow,48,789,allow
920,floor,27,898,-
920,defer,50,325,defer
920,allow,47,749,allow
921,floor,29,183,-
921,defer,48,532,defer
921,allow,48,477,allow
922,floor,27,948,-
922,defer,50,66,defer
922,allow,51,442,allow
923,floor,28,371,-
923,defer,47,16,defer
923,allow,48,383,allow
924,floor,314,1,-
924,defer,48,399,defer
924,allow,48,112,allow
925,floor,28,374,-
925,defer,49,464,defer
925,allow,47,993,allow
926,floor,28,855,-
926,defer,47,55,defer
926,allow,47,798,allow
927,floor,28,839,-
927,defer,49,317,defer
927,allow,47,472,allow
928,floor,28,606,-
928,defer,49,574,defer
928,allow,49,321,allow
929,floor,28,634,-
929,defer,47,484,defer
929,allow,380,317,allow
930,floor,30,017,-
930,defer,45,327,defer
930,allow,48,754,allow
931,floor,27,989,-
931,defer,50,36,defer
931,allow,47,178,allow
932,floor,28,161,-
932,defer,51,59,defer
932,allow,63,071,allow
933,floor,28,672,-
933,defer,63,038,defer
933,allow,47,536,allow
934,floor,28,217,-
934,defer,51,647,defer
934,allow,45,855,allow
935,floor,28,19,-
935,defer,52,031,defer
935,allow,47,98,allow
936,floor,29,204,-
936,defer,48,761,defer
936,allow,49,042,allow
937,floor,29,434,-
937,defer,46,793,defer
937,allow,46,245,allow
938,floor,28,506,-
938,defer,49,145,defer
938,allow,48,432,allow
939,floor,29,413,-
939,defer,65,824,defer
939,allow,62,804,allow
940,floor,29,678,-
940,defer,47,622,defer
940,allow,48,017,allow
941,floor,28,063,-
941,defer,50,66,defer
941,allow,47,741,allow
942,floor,306,162,-
942,defer,56,706,defer
942,allow,49,091,allow
943,floor,30,881,-
943,defer,61,927,defer
943,allow,48,411,allow
944,floor,29,217,-
944,defer,49,046,defer
944,allow,47,924,allow
945,floor,28,756,-
945,defer,51,54,defer
945,allow,46,422,allow
946,floor,28,996,-
946,defer,49,935,defer
946,allow,48,016,allow
947,floor,29,905,-
947,defer,48,043,defer
947,allow,51,611,allow
948,floor,321,782,-
948,defer,53,762,defer
948,allow,48,438,allow
949,floor,31,973,-
949,defer,59,78,defer
949,allow,48,146,allow
950,floor,29,406,-
950,defer,50,248,defer
950,allow,48,allow
951,floor,29,03,-
951,defer,50,087,defer
951,allow,46,973,allow
952,floor,29,256,-
952,defer,47,596,defer
952,allow,48,476,allow
953,floor,32,7,-
953,defer,59,994,defer
953,allow,48,414,allow
954,floor,30,533,-
954,defer,63,137,defer
954,allow,46,873,allow
955,floor,28,333,-
955,defer,51,237,defer
955,allow,47,111,allow
956,floor,28,962,-
956,defer,47,876,defer
956,allow,48,478,allow
957,floor,28,779,-
957,defer,49,255,defer
957,allow,47,527,allow
958,floor,28,377,-
958,defer,50,719,defer
958,allow,47,773,allow
959,floor,28,011,-
959,defer,50,814,defer
959,allow,46,88,allow
960,floor,28,158,-
960,defer,352,361,defer
960,allow,48,057,allow
961,floor,28,277,-
961,defer,53,36,defer
961,allow,60,327,allow
962,floor,30,161,-
962,defer,63,11,defer
962,allow,47,324,allow
963,floor,28,302,-
963,defer,48,557,defer
963,allow,47,471,allow
964,floor,27,831,-
964,defer,52,051,defer
964,allow,48,037,allow
965,floor,28,324,-
965,defer,64,341,defer
965,allow,47,509,allow
966,floor,27,975,-
966,defer,50,798,defer
966,allow,333,343,allow
967,floor,28,484,-
967,defer,50,877,defer
967,allow,62,546,allow
968,floor,28,437,-
968,defer,49,07,defer
968,allow,46,846,allow
969,floor,27,972,-
969,defer,50,489,defer
969,allow,47,478,allow
970,floor,28,152,-
970,defer,48,776,defer
970,allow,47,516,allow
971,floor,28,037,-
971,defer,51,481,defer
971,allow,46,625,allow
972,floor,28,076,-
972,defer,51,427,defer
972,allow,47,838,allow
973,floor,29,874,-
973,defer,48,415,defer
973,allow,46,777,allow
974,floor,27,839,-
974,defer,51,122,defer
974,allow,48,854,allow
975,floor,28,566,-
975,defer,49,012,defer
975,allow,47,584,allow
976,floor,28,675,-
976,defer,49,282,defer
976,allow,47,407,allow
977,floor,28,757,-
977,defer,49,918,defer
977,allow,47,576,allow
978,floor,28,572,-
978,defer,50,939,defer
978,allow,47,568,allow
979,floor,28,174,-
979,defer,346,544,defer
979,allow,47,685,allow
980,floor,38,624,-
980,defer,56,261,defer
980,allow,63,961,allow
981,floor,28,834,-
981,defer,45,822,defer
981,allow,47,874,allow
982,floor,28,398,-
982,defer,48,929,defer
982,allow,48,565,allow
983,floor,27,791,-
983,defer,50,941,defer
983,allow,48,099,allow
984,floor,28,12,-
984,defer,49,76,defer
984,allow,47,891,allow
985,floor,28,375,-
985,defer,48,975,defer
985,allow,48,881,allow
986,floor,306,24,-
986,defer,58,82,defer
986,allow,50,643,allow
987,floor,28,097,-
987,defer,45,551,defer
987,allow,47,684,allow
988,floor,27,631,-
988,defer,51,07,defer
988,allow,48,827,allow
989,floor,27,843,-
989,defer,49,185,defer
989,allow,46,792,allow
990,floor,27,889,-
990,defer,50,294,defer
990,allow,47,314,allow
991,floor,27,948,-
991,defer,51,686,defer
991,allow,47,651,allow
992,floor,28,918,-
992,defer,49,141,defer
992,allow,49,151,allow
993,floor,28,614,-
993,defer,48,807,defer
993,allow,48,889,allow
994,floor,29,65,-
994,defer,49,069,defer
994,allow,47,065,allow
995,floor,28,214,-
995,defer,50,533,defer
995,allow,46,363,allow
996,floor,27,865,-
996,defer,48,958,defer
996,allow,47,764,allow
997,floor,28,165,-
997,defer,51,285,defer
997,allow,63,518,allow
998,floor,28,104,-
998,defer,335,097,defer
998,allow,47,707,allow
999,floor,28,341,-
999,defer,49,069,defer
999,allow,48,73,allow
