iter,scenario,ms
359,defer,28,303
359,allow,27,363
360,floor,27,187
360,defer,28,182
360,allow,27,674
361,floor,26,485
361,defer,27,339
361,allow,27,762
362,floor,27,587
362,defer,28,251
362,allow,27,207
363,floor,27,376
363,defer,27,3
363,allow,28,19
364,floor,28,732
364,defer,29,137
364,allow,27,154
365,floor,29,041
365,defer,27,695
365,allow,31,104
366,floor,27,401
366,defer,171,979
366,allow,28,655
367,floor,27,6
367,defer,29,778
367,allow,28,651
368,floor,26,651
368,defer,27,997
368,allow,28,351
369,floor,27,199
369,defer,28,932
369,allow,28,735
370,floor,26,384
370,defer,27,298
370,allow,28,24
371,floor,26,195
371,defer,26,671
371,allow,185,913
372,floor,27,303
372,defer,28,615
372,allow,28,089
373,floor,27,853
373,defer,28,58
373,allow,30,703
374,floor,28,62
374,defer,27,974
374,allow,174,87
375,floor,28,292
375,defer,30,004
375,allow,27,302
376,floor,26,198
376,defer,183,547
376,allow,27,674
377,floor,26,842
377,defer,179,682
377,allow,192,75
378,floor,327,925
378,defer,27,139
378,allow,27,357
379,floor,26,552
379,defer,28,527
379,allow,27,778
380,floor,26,087
380,defer,27,635
380,allow,27,255
381,floor,27,453
381,defer,27,039
381,allow,28,142
382,floor,26,882
382,defer,27,093
382,allow,26,956
383,floor,26,216
383,defer,27,476
383,allow,27,871
384,floor,26,092
384,defer,28,353
384,allow,27,96
385,floor,192,128
385,defer,39,487
385,allow,27,557
386,floor,26,326
386,defer,27,954
386,allow,27,696
387,floor,26,106
387,defer,28,059
387,allow,27,713
388,floor,26,307
388,defer,28,131
388,allow,27,4
389,floor,181,117
389,defer,27,739
389,allow,27,104
390,floor,26,607
390,defer,28,411
390,allow,28,31
391,floor,180,931
391,defer,30,223
391,allow,28,84
392,floor,185,732
392,defer,27,612
392,allow,27,124
393,floor,26,008
393,defer,27,773
393,allow,28,418
394,floor,27,768
394,defer,26,936
394,allow,27,362
395,floor,25,99
395,defer,27,844
395,allow,27,902
396,floor,26,707
396,defer,26,849
396,allow,27,639
397,floor,26,884
397,defer,27,686
397,allow,27,613
398,floor,26,629
398,defer,27,052
398,allow,28,086
399,floor,27,704
399,defer,28,345
399,allow,27,629
400,floor,26,596
400,defer,26,85
400,allow,28,314
401,floor,27,034
401,defer,29,177
401,allow,29,243
402,floor,26,704
402,defer,26,956
402,allow,29,316
403,floor,27,502
403,defer,29,031
403,allow,27,717
404,floor,27,655
404,defer,27,782
404,allow,27,556
405,floor,25,773
405,defer,27,323
405,allow,27,925
406,floor,27,626
406,defer,27,165
406,allow,28,32
407,floor,26,144
407,defer,28,088
407,allow,27,493
408,floor,25,76
408,defer,27,487
408,allow,28,655
409,floor,27,427
409,defer,28,24
409,allow,27,419
410,floor,164,026
410,defer,26,479
410,allow,27,999
411,floor,28,398
411,defer,27,856
411,allow,27,956
412,floor,28,714
412,defer,27,614
412,allow,27,834
413,floor,28,27
413,defer,28,598
413,allow,33,032
414,floor,27,472
414,defer,27,89
414,allow,27,714
415,floor,26,86
415,defer,27,82
415,allow,27,997
416,floor,27,509
416,defer,27,689
416,allow,26,995
417,floor,26,971
417,defer,28,873
417,allow,28,095
418,floor,26,527
418,defer,27,414
418,allow,27,35
419,floor,26,524
419,defer,27,918
419,allow,183,112
420,floor,25,938
420,defer,28,723
420,allow,29,155
421,floor,26,494
421,defer,26,621
421,allow,27,569
422,floor,28,256
422,defer,28,8
422,allow,28,486
423,floor,28,707
423,defer,28,217
423,allow,30,774
424,floor,27,655
424,defer,28,585
424,allow,27,84
425,floor,184,071
425,defer,27,3
425,allow,28,403
426,floor,26,367
426,defer,27,427
426,allow,27,598
427,floor,26,52
427,defer,26,881
427,allow,28,11
428,floor,190,646
428,defer,27,05
428,allow,27,862
429,floor,25,673
429,defer,190,325
429,allow,28,648
430,floor,27,899
430,defer,186,958
430,allow,41,006
431,floor,176,508
431,defer,334,649
431,allow,27,821
432,floor,34,002
432,defer,27,608
432,allow,29,726
433,floor,26,612
433,defer,27,902
433,allow,29,3
434,floor,27,013
434,defer,28,794
434,allow,28,374
435,floor,25,86
435,defer,27,879
435,allow,28,89
436,floor,26,284
436,defer,27,415
436,allow,27,926
437,floor,25,985
437,defer,27,342
437,allow,27,82
438,floor,28,265
438,defer,182,223
438,allow,27,918
439,floor,26,091
439,defer,27,974
439,allow,28,102
440,floor,26,936
440,defer,27,197
440,allow,27,874
441,floor,29,783
441,defer,26,944
441,allow,27,267
442,floor,25,468
442,defer,195,613
442,allow,30,657
443,floor,28,17
443,defer,29,397
443,allow,28,505
444,floor,25,214
444,defer,191,704
444,allow,30,586
445,floor,28,954
445,defer,29,462
445,allow,28,22
446,floor,26,868
446,defer,27,71
446,allow,28,876
447,floor,25,863
447,defer,28,792
447,allow,27,494
448,floor,26,196
448,defer,26,87
448,allow,28,056
449,floor,26,498
449,defer,31,911
449,allow,29,98
450,floor,29,311
450,defer,31,137
450,allow,32,191
451,floor,32,557
451,defer,29,75
451,allow,28,335
452,floor,28,407
452,defer,28,493
452,allow,28,528
453,floor,27,181
453,defer,27,67
453,allow,28,276
454,floor,25,924
454,defer,28,143
454,allow,29,486
455,floor,27,03
455,defer,27,463
455,allow,28,177
456,floor,28,361
456,defer,29,263
456,allow,31,038
457,floor,32,933
457,defer,37,119
457,allow,32,915
458,floor,28,208
458,defer,28,024
458,allow,27,284
459,floor,26,906
459,defer,27,45
459,allow,27,455
460,floor,26,814
460,defer,27,467
460,allow,27,648
461,floor,26,593
461,defer,27,472
461,allow,30,226
462,floor,30,582
462,defer,30,621
462,allow,187,936
463,floor,28,225
463,defer,30,46
463,allow,32,078
464,floor,30,553
464,defer,30,226
464,allow,28,088
465,floor,26,852
465,defer,26,882
465,allow,28,543
466,floor,26,133
466,defer,27,647
466,allow,27,118
467,floor,27,348
467,defer,28,086
467,allow,27,426
468,floor,25,871
468,defer,27,309
468,allow,27,44
469,floor,27,354
469,defer,27,949
469,allow,27,691
470,floor,26,506
470,defer,27,112
470,allow,27,427
471,floor,28,09
471,defer,27,98
471,allow,27,164
472,floor,28,225
472,defer,29,152
472,allow,29,052
473,floor,176,323
473,defer,27,235
473,allow,27,992
474,floor,27,176
474,defer,27,737
474,allow,28,022
475,floor,27,352
475,defer,39,612
475,allow,27,657
476,floor,27,105
476,defer,27,025
476,allow,27,898
477,floor,26,3
477,defer,27,368
477,allow,28,573
478,floor,26,953
478,defer,27,396
478,allow,183,328
479,floor,26,96
479,defer,27,864
479,allow,28,203
480,floor,35,572
480,defer,29,63
480,allow,29,272
481,floor,31,412
481,defer,32,077
481,allow,190,422
482,floor,27,004
482,defer,27,104
482,allow,27,032
483,floor,28,577
483,defer,27,55
483,allow,186,01
484,floor,27,601
484,defer,27,253
484,allow,172,47
485,floor,183,582
485,defer,339,475
485,allow,27,07
486,floor,26,677
486,defer,26,814
486,allow,27,688
487,floor,26,116
487,defer,27,266
487,allow,27,115
488,floor,27,297
488,defer,27,67
488,allow,27,621
489,floor,25,688
489,defer,27,953
489,allow,27,87
490,floor,25,581
490,defer,27,5
490,allow,28,107
491,floor,26,059
491,defer,26,614
491,allow,28,277
492,floor,28,366
492,defer,190,698
492,allow,29,997
493,floor,26,535
493,defer,27,466
493,allow,28,626
494,floor,26,459
494,defer,28,297
494,allow,27,238
495,floor,26,456
495,defer,31,048
495,allow,28,778
496,floor,26,913
496,defer,185,251
496,allow,28,343
497,floor,26,197
497,defer,26,873
497,allow,28,631
498,floor,25,666
498,defer,27,113
498,allow,27,733
499,floor,26,227
499,defer,27,458
499,allow,27,608
500,floor,25,679
500,defer,27,884
500,allow,26,839
501,floor,27,098
501,defer,28,693
501,allow,28,74
502,floor,27,364
502,defer,27,605
502,allow,31,704
503,floor,27,405
503,defer,28,476
503,allow,28,389
504,floor,27,108
504,defer,26,754
504,allow,27,131
505,floor,26,586
505,defer,27,686
505,allow,29,314
506,floor,26,112
506,defer,28,174
506,allow,28,494
507,floor,26,835
507,defer,27,526
507,allow,28,51
508,floor,26,389
508,defer,27,382
508,allow,29,165
509,floor,28,217
509,defer,27,114
509,allow,28,648
510,floor,26,256
510,defer,28,428
510,allow,27,406
511,floor,26,529
511,defer,26,642
511,allow,27,611
512,floor,25,91
512,defer,27,662
512,allow,27,419
513,floor,26,688
513,defer,29,178
513,allow,28,262
514,floor,27,274
514,defer,27,595
514,allow,29,997
515,floor,27,642
515,defer,28,642
515,allow,183,007
516,floor,28,506
516,defer,27,098
516,allow,38,922
517,floor,26,922
